artist,song
Sia,Cheap Thrills
Justin Timberlake,Can't Stop The Feeling
Calvin Harris,This Is What You Came For
The Chainsmokers,Don't Let Me Down
Shawn Mendes,Treat You Better
Drake,One Dance
Twenty One Pilots,Ride
Adele,Send My Love (To Your New Lover)
Kent Jones,Don't Mind
Twenty One Pilots,Heathens
Desiigner,Panda
Rihanna,Needed Me
Drake,Too Good
Charlie Puth,We Don't Talk Any More
Mike Posner,I Took A Pill In Ibiza
Kungs & Cookin',On 3 BurnersThis Girl
Fifth Harmony,Work From Hom
Major Lazer,Cold Water
Pink,Just Like Fire
Ariana Grande,Into You
Drake,Controlla
Meghan Trainor,Me Too
Fifth Harmony,All In My Head
Lukas Graham,7 Years
DNCE,Cake By The Ocean
Twenty One Pilots,Stressed Out
Coldplay,Hymn For The Weekend
Rihanna,Work
DJ Khaled,For Free
Major Lazer,Cold Water
Justin Bieber,Love Yourself
Gnash,I Hate U I Love U
Katy Perry,Rise
Flume,Never Be Like You
Florida Georgia Line,H.O.L.Y.
Justin Bieber,Sorry
DJ Snake,Let Me Love You
Selena Gomez,Kill Em With Kindness
Kiiara,Gold
James Bay,Let It Go
Imany,Don't Be So Shy (Filatov & Karas Remix)
Drake,One Dance
Enrique Iglesias,Duele el corazon
DJ Khaled,I Got The Keys
D.R.A.M.,Broccoli
Future,Low Life
Galantis,No Money
Ariana Grande,Dangerous Woman
Beyonce,Sorry
Nick Jonas,Close
