song,artist
Push It,Salt-N-Pepa
Hips Don't Lie,Shakira
Walking on Sunshine,Katrina and the Waves
Love Shack,B-52's
As Time Goes By,Herman Hupfeld
Fallen,Lauren Wood
Electric Boogie,Marcia Griffiths
Blurred Lines,Robin Thicke
Sky Full of Stars,Cold Play
Satisfaction,Rolling Stones
Chain of Fools,Aretha Franklin
Hey Ya!,Outkast
Stairway to Heaven,Led Zeppelin
Wooly Bully,Sam the Sham and the Pharaohs
Do You Love Me,the contours
Shut Up and Dance,Walk the Moon
Always and Forever,Heatwave
Lara's Theme,
Who Let the Dogs Out,Baha men
Hava Nagila,The Klezmer Lounge Band
Billie Jean,Michael Jackson
It Had to Be You,Frank Sinatra
Can't Take My Eyes Off You,Frankie Valli
What a Wonderful World,Louis Armstrong
In My Life,Beatles
Uptown Funk,Mark Ronson
Wake Me Up,Wham
Lone Digger,Caravan Palace
Source,Fever the Ghost
O Green World,Gorillaz
Kids with Guns,Gorillaz
Jenny,Studio Killers
Ride,21 Pilots
Car Radio,21 Pilots
Burnt Rice,Shawn Wasabi
LA Woman,the Doors
Rock the Casbah,Clash
Fields of Gold,Sting
Against All Odds,Phil Collins
End of the World,REM
New Year's Day,U2
Two Hearts Beat as One,U2
Desire,U2
Every Breath You Take,Police
Every Little Thing She Does is Magic,Police
My City Was Gone,Pretenders
Call Me,Blondie
Dancing in the Dark,Springsteen
Blowin in the Wind,Bob Dylan
Like a Rolling Stone,Bob Dylan
Jumping Jack Flash,Rolling Stones
Good Riddance,Green Day
Unforgettable,Nat King Cole
Mona Lisa,Nat King Cole
Manic Monday,Bangles
Walk Like an Egyptian,The Bangles
Whip It,Devo
Burning Down the House,Talking Heads
Avalon,Roxy Music
Let's Dance,Bowie
Purple Rain,Prince
Your Song,Elton John
Don't Go Breaking My Heart,Elton John
Smooth,Santana
Layla,Derek and the Dominos
All Along the Watchtower,Jimi Hendrix
Single Ladies,Beyonce
Can't Stop the Feeling,Timberlake
Bad Romance,Lady Gaga
Born this Way,Lady Gaga
I Gotta Feeling,The Black Eyed Peas
Happy,Pharrel
Locked Out of Heaven,Bruno Mars
Just the Way you Are,Bruno Mars
Summer Wind,Frank Sinatra
Hey There Delilah,Plain White T's
Sugar,Maroon 5
Maps,Maroon 5
Lonely Boy,Black Keys
Breathless,Corrs
Girls Just Want to Have Fun,Cyndi Lauper
Lola,The Kinks
Let My Love Open the Door,Townshend
You Really Got Me,Kinks
All Day and All of the Night,Kinks
Baba O'Riley,the Who
My Generation,the Who
London Calling,Clash
I Want to Hold Your Hand,Beatles
A Hard Day's Night,Beatles
Paperback Writer,Beatles
Back in the USSR,Beatles
I Saw Her Standing There,Beatles
Brown Sugar,Rolling Stones
Honky Tonk Woman,Rolling Stones
Material Girl,Madonna
Into the Groove,Madonna
Piano Man,Billy Joel
My Girl,Temptations
Ain't No Mountain High Enough,Marvin Gaye
Sexual Healing,Marvin Gaye
Heard It Through the Grapevine,Marvin Gaye
Superstition,Stevie Wonder
Brick House,Commodores
September,Earth
Boogie Wonderland,Earth
Dance to the Music,Sly and the Family Stone
You're the First,the Last
Hungry Like the Wolf,Duran Duran
You Can't Hurry Love,Supremes
Everlasting Love,The Love Affair
Brown Eyed Girl,Van Morrison
Don't Stop Me Now,Queen
Jump,Van Halen
Footloose,Kenny Loggins
Dancing in the Street,Martha Reeves
Livin' la Vida Loca,Ricky Martin
Stayin' Alive,Bee Gees
Beat It,Michael Jackson
Don't Stop Till You Get Enough,Jackson
Black or White,Michael Jackson
Endless Love,Lionel Richie
Pretty Woman,Roy Orbison
"Sugar,Sugar",the Archies
I'm a Believer,Monkees
Be My Baby,Ronettes
Johnny B. Goode,Chuck Berry
Roll Over Beethoven,Chuck Berry
In the Midnight Hour,Wilson Pickett
Open Arms,Journey
All of Me,John Legend
Summer,Calvin Harris
Blame,Calvin Harris
Love Runs Out,One Republic
Counting Stars,One Republic
Problem,Ariana Grande
Bang Bang,Ariana Grande
Holding Out for a Hero,Frou Frou
Accidentally in Love,Counting Crows
Funky town,Lipps Inc.
Round Round,Sugababes
Bring on the Dancing Horses,Echo & the BunnyMen
