,index,frequency,country,rap
97522,granddad,23,17.0,6.0
97523,asiatic,23,,23.0
97524,stalker,23,2.0,21.0
97525,relapse,23,5.0,18.0
97526,owls,23,5.0,18.0
97527,plants,23,5.0,18.0
97528,rampage,23,,23.0
97529,platoon,23,1.0,22.0
97530,fiesta,23,1.0,22.0
97531,boo-yaa,23,,23.0
97532,wrinkled,23,4.0,19.0
97533,lingerie,23,2.0,21.0
97534,rejected,23,4.0,19.0
97535,joys,23,7.0,16.0
97536,convo,23,,23.0
97537,labelled,23,,23.0
97538,rudolph,23,2.0,21.0
97539,pins,23,8.0,15.0
97540,cb,23,7.0,16.0
97541,lionheart,23,,23.0
97542,laptop,23,6.0,17.0
97543,laredo,23,23.0,
97544,ants,23,2.0,21.0
97545,&lt--,23,,23.0
97546,lad,23,5.0,18.0
97547,defending,23,10.0,13.0
97548,mango,23,9.0,14.0
97549,waxed,23,3.0,20.0
97550,freek-a-leek,23,,23.0
97551,derby,23,3.0,20.0
97552,telescope,23,12.0,11.0
97553,d-roc,23,,23.0
97554,fest,23,1.0,22.0
97555,55,23,8.0,15.0
97556,mayo,23,5.0,18.0
97557,germ,23,,23.0
97558,5x,23,1.0,22.0
97559,rake,23,8.0,15.0
97560,statistics,23,2.0,21.0
97561,defy,23,4.0,19.0
97562,pjs,23,,23.0
97563,pretended,23,6.0,17.0
97564,frequency,23,2.0,21.0
97565,capped,23,1.0,22.0
97566,frequently,23,,23.0
97567,light-skinned,23,2.0,21.0
97568,priscilla,23,20.0,3.0
97569,ripples,23,16.0,7.0
97570,pisces,23,,23.0
97571,gene,23,12.0,11.0
97572,fetty,23,,23.0
97573,cot,23,1.0,22.0
97574,armored,23,3.0,20.0
97575,rascalz,23,,23.0
97576,breathes,23,8.0,15.0
97577,pecan,23,11.0,12.0
97578,tack,23,,23.0
97579,packet,23,3.0,20.0
97580,mature,23,,23.0
97581,l-o-v-e,23,6.0,17.0
97582,creature,23,5.0,18.0
97583,avalanche,23,6.0,17.0
97584,weathered,23,16.0,7.0
97585,apparent,23,2.0,21.0
97586,blocking,23,4.0,19.0
97587,gibson,23,12.0,11.0
97588,calculate,23,1.0,22.0
97589,designs,23,15.0,8.0
97590,styling,24,,24.0
97591,zag,24,2.0,22.0
97592,italy,24,3.0,21.0
97593,inviting,24,2.0,22.0
97594,ditty,24,2.0,22.0
97595,homegirls,24,,24.0
97596,relative,24,5.0,19.0
97597,frequent,24,1.0,23.0
97598,anothers,24,20.0,4.0
97599,trues,24,,24.0
97600,holocaust,24,,24.0
97601,misdemeanor,24,,24.0
97602,suv,24,3.0,21.0
97603,dr-rop,24,,24.0
97604,identify,24,5.0,19.0
97605,psychotic,24,,24.0
97606,150,24,1.0,23.0
97607,drop-top,24,,24.0
97608,omega,24,,24.0
97609,boondocks,24,19.0,5.0
97610,loner,24,9.0,15.0
97611,homeland,24,16.0,8.0
97612,-ay,24,,24.0
97613,possibilities,24,11.0,13.0
97614,allergic,24,,24.0
97615,targets,24,1.0,23.0
97616,ruining,24,17.0,7.0
97617,flour,24,12.0,12.0
97618,gnac,24,,24.0
97619,checkmate,24,,24.0
97620,drawls,24,2.0,22.0
97621,prevent,24,,24.0
97622,memorized,24,20.0,4.0
97623,saloon,24,19.0,5.0
97624,kali,24,,24.0
97625,alize,24,,24.0
97626,confront,24,5.0,19.0
97627,lambs,24,2.0,22.0
97628,badmind,24,,24.0
97629,checker,24,1.0,23.0
97630,chyna,24,1.0,23.0
97631,suede],24,,24.0
97632,stalkin,24,,24.0
97633,oooh-ooh,24,,24.0
97634,stallin,24,1.0,23.0
97635,eyeing,24,3.0,21.0
97636,peanuts,24,9.0,15.0
97637,squads,24,,24.0
97638,ipod,24,5.0,19.0
97639,homesick,24,22.0,2.0
97640,smog,24,5.0,19.0
97641,fran,24,1.0,23.0
97642,homage,24,2.0,22.0
97643,attractive,24,1.0,23.0
97644,jheri,24,,24.0
97645,bougie,24,,24.0
97646,bitterness,24,19.0,5.0
97647,terrorists,24,2.0,22.0
97648,tremendo,24,,24.0
97649,frenzy,24,1.0,23.0
97650,crimson,24,11.0,13.0
97651,phesto,24,,24.0
97652,alliance,24,1.0,23.0
97653,hola,24,3.0,21.0
97654,explaining,24,9.0,15.0
97655,removed,24,10.0,14.0
97656,immaculate,24,,24.0
97657,civil,24,6.0,18.0
97658,peice,24,5.0,19.0
97659,sorts,24,3.0,21.0
97660,slaughtered,24,,24.0
97661,chedda,24,,24.0
97662,hitter,24,1.0,23.0
97663,chops,24,,24.0
97664,memry,24,23.0,1.0
97665,wider,24,11.0,13.0
97666,burbs,24,1.0,23.0
97667,extendo,24,,24.0
97668,prosper,24,,24.0
97669,steamy,24,18.0,6.0
97670,fumbled,24,13.0,11.0
97671,residue,24,3.0,21.0
97672,suggestion,24,8.0,16.0
97673,imagining,24,9.0,15.0
97674,in-between,24,7.0,17.0
97675,statistic,24,,24.0
97676,standards,24,,24.0
97677,civilized,24,2.0,22.0
97678,do-o-o,24,6.0,18.0
97679,assed,24,,24.0
97680,opponents,24,2.0,22.0
97681,504,24,15.0,9.0
97682,yawning,24,1.0,23.0
97683,surprises,24,6.0,18.0
97684,caribbean,24,3.0,21.0
97685,acapella,24,,24.0
97686,730,24,3.0,21.0
97687,1-2,24,,24.0
97688,dvd,24,2.0,22.0
97689,foreman,24,7.0,17.0
97690,affiliated,24,1.0,23.0
97691,83,24,7.0,17.0
97692,astro,24,1.0,23.0
97693,cheerleader,24,4.0,20.0
97694,attackin,24,,24.0
97695,niende,24,,24.0
97696,curses,24,9.0,15.0
97697,triumph,24,4.0,20.0
97698,doggin,24,8.0,16.0
97699,hataz,24,,24.0
97700,absorb,24,,24.0
97701,thanking,24,10.0,14.0
97702,terminator,24,,24.0
97703,sensual,24,,24.0
97704,ooooooo,24,5.0,19.0
97705,promotion,24,6.0,18.0
97706,mutherfucking,24,,24.0
97707,persons,24,4.0,20.0
97708,bool,24,,24.0
97709,sensitive,24,5.0,19.0
97710,rut,24,15.0,9.0
97711,petrol,24,3.0,21.0
97712,lantern,24,14.0,10.0
97713,pedestal,24,3.0,21.0
97714,slows,24,15.0,9.0
97715,tats,24,,24.0
97716,shepherd,24,9.0,15.0
97717,do-do,24,12.0,12.0
97718,ooh-ooh-ooh,24,16.0,8.0
97719,iriscience,24,,24.0
97720,muthafkas,24,,24.0
97721,mac-10,24,,24.0
97722,titanic,24,3.0,21.0
97723,medusa,24,,24.0
97724,tasting,24,11.0,13.0
97725,dios,24,14.0,10.0
97726,petrified,24,4.0,20.0
97727,self-esteem,24,4.0,20.0
97728,sha-shabba,24,,24.0
97729,locket,24,18.0,6.0
97730,f---,24,,24.0
97731,hymn,24,10.0,14.0
97732,committee,24,3.0,21.0
97733,complications,24,5.0,19.0
97734,stinky,24,1.0,23.0
97735,sill,24,15.0,9.0
97736,hand-me-down,24,12.0,12.0
97737,awol,24,1.0,23.0
97738,playstation,24,1.0,23.0
97739,wasteland,24,17.0,7.0
97740,contents,24,5.0,19.0
97741,marker,24,6.0,18.0
97742,pans,24,4.0,20.0
97743,polar,24,2.0,22.0
97744,scraping,24,10.0,14.0
97745,drunks,24,21.0,3.0
97746,swish,24,,24.0
97747,da-da-da,24,1.0,23.0
97748,pleading,24,6.0,18.0
97749,maps,24,12.0,12.0
97750,marine,24,11.0,13.0
97751,setter,24,2.0,22.0
97752,dumber,24,2.0,22.0
97753,rack-rack,24,,24.0
97754,spears,24,,24.0
97755,woodstock,24,8.0,16.0
97756,out],24,2.0,22.0
97757,barbeque,24,7.0,17.0
97758,objects,24,1.0,23.0
97759,lettuce,24,,24.0
97760,picky,24,,24.0
97761,cages,24,3.0,21.0
97762,arguin,24,1.0,23.0
97763,conviction,24,12.0,12.0
97764,bam-ba-lam,24,24.0,
97765,tuition,24,3.0,21.0
97766,outcast,24,2.0,22.0
97767,da&gt,24,,24.0
97768,roamin,24,2.0,22.0
97769,bama,24,13.0,11.0
97770,stings,24,4.0,20.0
97771,roley,24,,24.0
97772,understandin,24,6.0,18.0
97773,c-note,24,,24.0
97774,symptoms,24,6.0,18.0
97775,clutchin,24,3.0,21.0
97776,catastrophe,24,6.0,18.0
97777,biatch,24,,24.0
97778,swap,24,3.0,21.0
97779,category,24,,24.0
97780,gardens,24,4.0,20.0
97781,oh-ohh,24,,24.0
97782,gimmick,24,,24.0
97783,negativity,24,,24.0
97784,erection,24,,24.0
97785,streetz,24,,24.0
97786,sneeze,24,1.0,23.0
97787,simmons,24,,24.0
97788,evans,24,5.0,19.0
97789,jackers,24,,24.0
97790,kells,24,,24.0
97791,severed,24,3.0,21.0
97792,womens,24,9.0,15.0
97793,jazze,24,,24.0
97794,victoria,24,3.0,21.0
97795,soaring,24,8.0,16.0
97796,migo,24,,24.0
97797,av,24,,24.0
97798,clinging,24,20.0,4.0
97799,hey-hey,24,2.0,22.0
97800,versatile,24,,24.0
97801,29,24,12.0,12.0
97802,sc,24,,24.0
97803,touring,24,,24.0
97804,equivalent,24,,24.0
97805,[afu-ra],24,,24.0
97806,hova,24,,24.0
97807,{scratched,24,,24.0
97808,richmond,24,7.0,17.0
97809,ak-47,24,,24.0
97810,scramblin,24,5.0,19.0
97811,piled,24,14.0,10.0
97812,hover,24,1.0,23.0
97813,scan,24,7.0,17.0
97814,tought,24,3.0,21.0
97815,syllables,24,2.0,22.0
97816,striking,24,6.0,18.0
97817,cheyenne,24,14.0,10.0
97818,scam,24,1.0,23.0
97819,warp,24,,24.0
97820,daddy-o,24,,24.0
97821,dictionary,24,3.0,21.0
97822,stocking,24,2.0,22.0
97823,{ride},24,,24.0
97824,needa,24,4.0,20.0
97825,poked,24,9.0,15.0
97826,merrily,24,20.0,4.0
97827,dotted,24,4.0,20.0
97828,skepta,24,,24.0
97829,zonin,24,,24.0
97830,jessica,24,5.0,19.0
97831,infected,24,,24.0
97832,vibrations,24,,24.0
97833,leisure,24,3.0,21.0
97834,edit,24,2.0,22.0
97835,cherries,24,9.0,15.0
97836,dominant,24,,24.0
97837,comfy,24,2.0,22.0
97838,geto,24,,24.0
97839,bowls,24,4.0,20.0
97840,elastic,24,1.0,23.0
97841,gleaming,24,9.0,15.0
97842,smothered,24,2.0,22.0
97843,viper,24,3.0,21.0
97844,coastal,24,8.0,16.0
97845,humor,24,10.0,14.0
97846,serpent,24,5.0,19.0
97847,braxton,24,,24.0
97848,rookies,24,1.0,23.0
97849,chalice,24,4.0,20.0
97850,legend],24,,24.0
97851,infatuated,24,,24.0
97852,overlook,24,5.0,19.0
97853,bounced,24,3.0,21.0
97854,bouncer,24,9.0,15.0
97855,beyonce,24,1.0,23.0
97856,nutt,24,,24.0
97857,d-o,24,,24.0
97858,andele,24,,24.0
97859,imperfections,24,7.0,17.0
97860,geronimo,24,4.0,20.0
97861,hoops,24,8.0,16.0
97862,earnin,24,2.0,22.0
97863,germs,24,,24.0
97864,[ll,24,,24.0
97865,sweaters,24,1.0,23.0
97866,interfere,24,7.0,17.0
97867,serena,24,,24.0
97868,punked,24,,24.0
97869,mentirosa,24,,24.0
97870,rakaa,24,,24.0
97871,pistons,24,9.0,15.0
97872,paragraph,24,,24.0
97873,spiders,24,10.0,14.0
97874,electrify,24,2.0,22.0
97875,politic,24,3.0,21.0
97876,earthquakes,24,3.0,21.0
97877,a-t-l,24,,24.0
97878,rdd,24,,24.0
97879,[ice-t],24,,24.0
97880,pappy,24,6.0,18.0
97881,contemplating,24,3.0,21.0
97882,british,24,5.0,19.0
97883,unorthodox,24,,24.0
97884,giver,24,6.0,18.0
97885,{true,24,,24.0
97886,erykah,24,,24.0
97887,sharper,24,2.0,22.0
97888,disconnect,24,1.0,23.0
97889,ne-yo,24,3.0,21.0
97890,ether,24,1.0,23.0
97891,doobie,24,,24.0
97892,sighs,24,15.0,9.0
97893,venice,24,2.0,22.0
97894,a-yo,24,,24.0
97895,speeds,24,5.0,19.0
97896,balloons,24,10.0,14.0
97897,glamorous,24,3.0,21.0
97898,kidnapped,24,1.0,23.0
97899,ceilings,24,3.0,21.0
97900,violated,24,,24.0
97901,flap,24,1.0,23.0
97902,faucet,24,5.0,19.0
97903,flamin,24,4.0,20.0
97904,hanger,24,2.0,22.0
